modul,savol,text,answers
7-modul 7.4 mavzu,2-savol,Receptionistning ohangi qanday bo‘ladi?,Iliq va samimiy
7-modul 7.4 mavzu,3-savol,Receptionist minnatdorchilikni qanday bildiradi?,"“Rahmat, sizga xizmat qilishdan mamnun bo‘ldik."""
7-modul 7.4 mavzu,4-savol,Xayrlashishda qanday yuz ifoda bo‘ladi?,Tabassum
7-modul 7.4 mavzu,6-savol,Receptionist qanday so‘zdan foydalanadi?,Mehmonni qadrli his qilish
8-modul 8.1 mavzu,1-savol,“Welcome” iborasi qachon ishlatiladi?,Mehmonni kutib olishda
8-modul 8.1 mavzu,2-savol,“How can I help you?” nimani anglatadi?,Xizmat taklif qilish
8-modul 8.1 mavzu,3-savol,“Please” qachon ishlatiladi?,Professional gaplashuv
8-modul 8.1 mavzu,4-savol,“Thank you” qaysi holatda ishlatiladi?,Minnatdorchilik bildiradi
8-modul 8.1 mavzu,5-savol,“Goodbye” qaysi vaziyatda ishlatiladi?,Xayrlashishda
8-modul 8.1 mavzu,6-savol,Receptionist qaysi iborani ishlatishi kerak?,“Excuse me”
8-modul 8.2 mavzu,1-savol,Receptionist mehmonni qanday kutib oladi?,“Welcome! How can I help you?”
8-modul 8.2 mavzu,2-savol,Mehmon so‘raydi: “Do you have a reservation?” Receptionist qanday javob beradi?,"“Yes, let me check your name, please.”"
8-modul 8.2 mavzu,3-savol,Receptionist mehmondan ma’lumot so‘raydi:,"“May I see your ID or passport, please?”"
8-modul 8.2 mavzu,4-savol,Mehmon: “Thank you.” Receptionist qanday javob beradi?,“You’re welcome!”
8-modul 8.2 mavzu,5-savol,Receptionist xizmatni taklif qiladi:,“Would you like some help with your bags?”
8-modul 8.2 mavzu,6-savol,Receptionist xizmatni tasdiqlaydi:,"“Sure, I can help you with that.”"
8-modul 8.3 mavzu,1-savol,Receptionist mehmonning ismini qanday so‘raydi?,"“May I have your name, please?”"
8-modul 8.3 mavzu,2-savol,Receptionist bandlikni tekshirayotganda nima deydi?,“Do you have a reservation?”
8-modul 8.3 mavzu,3-savol,Receptionist yordam taklif qilayotganda nima deydi?,“How can I help you?”
8-modul 8.3 mavzu,4-savol,Mehmon: “Where is my room?” Receptionist qanday javob beradi?,“I will show you the way.”
8-modul 8.3 mavzu,5-savol,Receptionist xizmatni tasdiqlaydi:,"“Sure, I can do that for you.”"
8-modul 8.3 mavzu,6-savol,Receptionist muammoni eshitganda nima deydi?,“I’m sorry to hear that. Let me help.”
8-modul 8.4 mavzu,1-savol,Qaysi rasm kutib olishni ko‘rsatadi?,Samimiy va professional kutib olish
8-modul 8.4 mavzu,2-savol,Qaysi rasm yordam taklif qilishni ko‘rsatadi?,Xizmat taklifi va yordam
8-modul 8.4 mavzu,3-savol,Qaysi rasm hisob-kitobni tushuntirishni ko‘rsatadi?,Aniq va ochiq xizmat
8-modul 8.4 mavzu,4-savol,Qaysi rasm uzr so‘rashni ko‘rsatadi?,Hurmat va kechirim
8-modul 8.4 mavzu,5-savol,Qaysi rasm xayrlashishni ko‘rsatadi?,Samimiy va professional vidolashish
8-modul 8.4 mavzu,6-savol,Qaysi rasm xizmat madaniyatini ko‘rsatadi?,Xizmat madaniyati va e’tibor
9-modul 9.1 mavzu,1-savol,Qaysi rasm receptionistning professional formasini ko‘rsatadi?,"Tartibli, uniformali receptionist"
9-modul 9.1 mavzu,2-savol,Qaysi rasm gigiena va ozodalikka mos?,"Toza, taralgan soch va yuz"
9-modul 9.1 mavzu,3-savol,Receptionist nima uchun forma kiyadi?,Ishonch va hurmat uyg‘otadi
9-modul 9.1 mavzu,4-savol,Receptionistning ohangi qanday bo‘ladi?, Muloyim va hurmatli
9-modul 9.1 mavzu,5-savol,Qaysi rasm professional gigiena va ozodalikka mos?,Toza qo‘l va gigiena belgisi
9-modul 9.1 mavzu,6-savol,Qaysi rasm receptionistni professional holatda ko‘rsatadi?,Hurmat va samimiyat
